doi,doi_url,repository_url,is_open_access,authors_count,authors_affiliation_count,authors_familyname_count,authors_givennames_count,authors_gnd_count,authors_name_count,authors_orcid_count,authors_affiliation_percentage,authors_orcid_percentage,has_funding_info,has_journal,has_language,has_license,license_name,keywords_freetext_count,keywords_controlled_vocabularies_count,total_keywords_count,has_conference_acronym,has_conference_dates,has_conference_place,has_conference_session,has_conference_session_part,has_conference_title,has_conference_website,has_creation_date,creation_date,creation_year,other_dates_count,other_dates,references_no_identifiers_count,references_with_identifiers_count,total_references_count,has_title,has_version,has_description,description_words_count,description_characters_count,files,views,downloads,repository
,,https://repository.lboro.ac.uk/articles/poster/DBT_interpretation_training_findings_from_analysis_of_expert_visual_search_behaviour_Poster_/9404417,True,4,0,0,0,0,4,0,0.0,0.0,False,False,False,True,CC BY-NC-ND 4.0,2,0,2,False,False,False,False,False,False,False,True,2018-01-25T13:36:03Z,2018,0,,0,0,0,True,True,True,12,83,EUSOBI Poster.pdf,1098,358,Figshare
10.6084/m9.figshare.9895940.v1,https://doi.org/10.6084/m9.figshare.9895940.v1,https://figshare.com/articles/poster/TripleSlogs_poster/9895940,True,1,0,0,0,0,1,0,0.0,0.0,False,False,False,True,CC BY 4.0,5,0,5,False,False,False,False,False,False,False,True,2019-09-24T07:22:18Z,2019,0,,0,0,0,True,True,True,109,627,triplesLogs-demo_poster.pdf,160,57,Figshare
10.25376/hra.7798790.v1,https://doi.org/10.25376/hra.7798790.v1,https://hra.figshare.com/articles/poster/Targeting_HIV-infected_brain_to_improve_stroke_outcome/7798790,True,4,0,0,0,0,4,1,0.0,25.0,False,False,False,True,CC BY 4.0,4,0,4,False,False,False,False,False,False,False,True,2019-03-04T16:02:10Z,2019,0,,0,0,0,True,True,True,316,1814,Poster SNIP 2018.pdf,662,337,Figshare
10.6084/m9.figshare.11632647.v1,https://doi.org/10.6084/m9.figshare.11632647.v1,https://figshare.com/articles/poster/A_statement_about_future_TB_incidence_and_treatment_adherence_in_developing_countries_if_urgent_measures_are_not_taken/11632647,True,1,0,0,0,0,1,1,0.0,100.0,False,False,False,True,CC BY 4.0,2,0,2,False,False,False,False,False,False,False,True,2020-01-16T20:24:42Z,2020,0,,0,0,0,True,True,True,22,124,P010.pdf,139,29,Figshare
10.6084/m9.figshare.21069838.v1,https://doi.org/10.6084/m9.figshare.21069838.v1,https://figshare.com/articles/poster/An_lisis_de_la_expresi_n_de_aldosa_reductasa_y_de_la_sorbitol_deshidrogenasa_en_c_lulas_Jurkat/21069838,True,2,0,0,0,0,2,1,0.0,50.0,False,False,False,True,CC BY 4.0,6,0,6,False,False,False,False,False,False,False,True,2022-09-09T07:16:36Z,2022,0,,0,0,0,True,True,True,10,62,Cartel Vía de los Polioles.pdf,282,62,Figshare
10.6084/m9.figshare.12156945.v1,https://doi.org/10.6084/m9.figshare.12156945.v1,https://tagc2020.figshare.com/articles/poster/Telomere_and_telomerase_evolution_in_Saccharomyces_cerevisiae/12156945,True,1,0,0,0,0,1,0,0.0,0.0,False,False,False,True,CC BY 4.0,7,0,7,False,False,False,False,False,False,False,True,2020-04-20T20:30:28Z,2020,0,,0,0,0,True,True,True,32,195,TAGC Poster 2020 Mefford.pdf,490,116,Figshare
10.6084/m9.figshare.11632659.v1,https://doi.org/10.6084/m9.figshare.11632659.v1,https://figshare.com/articles/poster/Psychosocial_aspects_of_TB_patients_after_hospital_discharge/11632659,True,1,0,0,0,0,1,1,0.0,100.0,False,False,False,True,CC BY 4.0,2,0,2,False,False,False,False,False,False,False,True,2020-01-16T20:25:46Z,2020,0,,0,0,0,True,True,True,34,162,P011.pdf,134,53,Figshare
10.6084/m9.figshare.11632662.v1,https://doi.org/10.6084/m9.figshare.11632662.v1,https://figshare.com/articles/poster/Smoking_prevalence_and_people_s_lack_of_knowledge_about_long_term_tobacco_use/11632662,True,1,0,0,0,0,1,1,0.0,100.0,False,False,False,True,CC BY 4.0,2,0,2,False,False,False,False,False,False,False,True,2020-01-16T20:27:14Z,2020,0,,0,0,0,True,True,True,21,127,P012.pdf,159,81,Figshare
10.6084/m9.figshare.26935318.v2,https://doi.org/10.6084/m9.figshare.26935318.v2,https://figshare.com/articles/poster/Comprehensive_Revision_Policy_Ensuring_Satisfaction_with_Every_Assignment_pdf/26935318,True,1,0,0,0,0,1,0,0.0,0.0,True,False,False,True,CC BY 4.0,1,0,1,False,False,False,False,False,False,False,True,2024-09-04T08:13:31Z,2024,0,,0,0,0,True,True,True,34,254,Comprehensive Revision Policy Ensuring Satisfaction with Every Assignment.pdf,66,13,Figshare
10.25376/hra.23298074.v1,https://doi.org/10.25376/hra.23298074.v1,https://hra.figshare.com/articles/poster/ISC_2023_ICAM-1_poster_01-27-2023_3_pdf/23298074,True,8,0,0,0,0,8,0,0.0,0.0,False,False,False,True,CC BY 4.0,1,0,1,False,False,False,False,False,False,False,True,2023-06-05T21:47:52Z,2023,0,,0,0,0,True,True,True,66,364,ISC 2023 ICAM-1 poster 01-27-2023_3.pdf,233,93,Figshare
10.6084/m9.figshare.21069853.v3,https://doi.org/10.6084/m9.figshare.21069853.v3,https://figshare.com/articles/poster/Impacto_socioecon_mico_del_uso_del_cubrebocas_en_estudiantes_de_la_Universidad_de_Guadalajara_en_la_Zona_Metropolitana_de_Guadalajara/21069853,True,9,0,0,0,0,9,9,0.0,100.0,False,False,False,True,CC BY 4.0,4,0,4,False,False,False,False,False,False,False,True,2022-09-09T17:31:42Z,2022,0,,0,0,0,True,True,True,11,61,Cartel.pdf,520,45,Figshare
10.6084/m9.figshare.11796510.v1,https://doi.org/10.6084/m9.figshare.11796510.v1,https://figshare.com/articles/poster/IBAMR_poster/11796510,True,1,0,0,0,0,1,0,0.0,0.0,True,False,False,True,CC BY 4.0,6,0,6,False,False,False,False,False,False,False,True,2020-02-03T22:51:44Z,2020,0,,0,0,0,True,True,True,20,121,poster.pdf,235,764,Figshare
10.6084/m9.figshare.13369379.v1,https://doi.org/10.6084/m9.figshare.13369379.v1,https://virtualson2020.figshare.com/articles/poster/Evaluation_of_Seed_Treatments_For_Management_Of_Soybean_Cyst_Nematode_In_Delaware_Soybeans/13369379,True,2,0,0,0,0,2,0,0.0,0.0,True,False,False,True,CC BY 4.0,2,0,2,False,False,False,False,False,False,False,True,2020-12-11T22:12:41Z,2020,0,,0,0,0,True,True,True,407,2323,SON2020AK_Final.pdf,388,91,Figshare
10.6084/m9.figshare.11567142.v1,https://doi.org/10.6084/m9.figshare.11567142.v1,https://figshare.com/articles/poster/Groepje_4_OGO_Beeldanalyse_poster_pdf/11567142,True,1,0,0,0,0,1,0,0.0,0.0,False,False,False,True,CC BY 4.0,4,0,4,False,False,False,False,False,False,False,True,2020-01-10T09:54:52Z,2020,0,,0,0,0,True,True,True,5,29,Groepje 4 OGO Beeldanalyse poster.pdf,172,42,Figshare
10.6084/m9.figshare.98343.v1,https://doi.org/10.6084/m9.figshare.98343.v1,https://figshare.com/articles/poster/Biological_soil_crusts_control_N_dynamics_and_microbial_functional_diversity_in_response_to_nutrient_additions/98343,True,4,0,0,0,0,4,1,0.0,25.0,False,False,False,True,CC BY 4.0,8,0,8,False,False,False,False,False,False,False,True,2013-04-09T11:51:14Z,2013,0,,0,0,0,True,True,True,12,66,POSTER_VIENNA3.ppt,364,480,Figshare
10.6084/m9.figshare.13369388.v1,https://doi.org/10.6084/m9.figshare.13369388.v1,https://virtualson2020.figshare.com/articles/poster/EVALUATION_OF_SOYBEAN_CULTIVARS_FOR_RESISTANCE_TO_A_NEW_PRATYLENCHUS_SP_DETECTED_IN_NORTH_DAKOTA_/13369388,True,2,0,0,0,0,2,0,0.0,0.0,False,False,False,True,CC BY 4.0,11,0,11,False,False,False,False,False,False,False,True,2020-12-11T22:02:40Z,2020,0,,0,0,0,True,True,True,380,2168,SON poster-12.9.20 editYan.pdf,419,82,Figshare
,,https://sussex.figshare.com/articles/poster/Converting_EIT_voxel_based_imaging_and_pixel_based_ultrasound_imaging_to_standardised_DICOM/23429165,True,4,0,0,0,0,4,0,0.0,0.0,False,False,False,True,Copyright not evaluated,1,0,1,False,False,False,False,False,False,False,True,2023-06-09T01:00:21Z,2023,0,,0,1,1,True,True,True,3,21,,223,0,Figshare
10.6084/m9.figshare.21725228.v1,https://doi.org/10.6084/m9.figshare.21725228.v1,https://figshare.com/articles/poster/A_department_model_of_academic_advising/21725228,True,1,0,0,0,0,1,1,0.0,100.0,False,False,False,True,CC BY 4.0,3,0,3,False,False,False,False,False,False,False,True,2022-12-14T16:11:40Z,2022,0,,0,0,0,True,True,True,130,705,Poster Presentation 36x72.png,216,36,Figshare
10.6084/m9.figshare.25428016.v1,https://doi.org/10.6084/m9.figshare.25428016.v1,https://figshare.com/articles/poster/Learning_record/25428016,True,1,0,0,0,0,1,1,0.0,100.0,False,False,False,True,CC BY 4.0,1,0,1,False,False,False,False,False,False,False,True,2024-07-18T00:10:07Z,2024,0,,0,0,0,True,True,True,10,63,SMOS Sentinel-1.pptx,66,22,Figshare
10.25406/wsu.19173971.v1,https://doi.org/10.25406/wsu.19173971.v1,https://wsu.figshare.com/articles/poster/Infection_prevention_practices_in_household_contacts_of_TB_defaulters_at_Bizana_Area_of_Eastern_Cape_South_Africa_A_qualitative_study/19173971,True,5,0,0,0,0,5,0,0.0,0.0,False,False,False,True,CC BY 4.0,3,0,3,False,False,False,False,False,False,False,True,2022-03-15T10:20:41Z,2022,0,,0,0,0,True,True,True,97,533,Wiseman_eposter- WSU_OO.pptx,309,82,Figshare
,,https://sussex.figshare.com/articles/poster/P105_Sexual_healthcare_professionals_attitudes_towards_HPV_vaccination_for_men_in_the_United_Kingdom/23429171,True,5,0,0,0,0,5,0,0.0,0.0,False,False,False,True,Copyright not evaluated,1,0,1,False,False,False,False,False,False,False,True,2023-06-09T01:00:26Z,2023,0,,0,0,0,True,True,True,252,1413,,204,0,Figshare
10.6084/m9.figshare.786486.v3,https://doi.org/10.6084/m9.figshare.786486.v3,https://figshare.com/articles/poster/GigaDB_poster_csh_asia/786486,True,1,0,0,0,0,1,0,0.0,0.0,False,False,False,True,CC BY 4.0,2,0,2,False,False,False,False,False,False,False,True,2013-09-03T08:39:55Z,2013,0,,0,1,1,True,True,True,29,169,GigaDB_poster_csh-asia1.pptx,621,665,Figshare
10.6084/m9.figshare.20054075.v1,https://doi.org/10.6084/m9.figshare.20054075.v1,https://figshare.com/articles/poster/Psoriasis_pustulosa_posterior_a_vacuna_COVID-19_reporte_de_caso/20054075,True,3,0,0,0,0,3,1,0.0,33.33333333333333,False,False,False,True,CC BY 4.0,8,0,8,False,False,False,False,False,False,False,True,2022-06-10T17:47:05Z,2022,0,,0,4,4,True,True,True,284,1780,Cartel_Psoriasis_pustulosa_posterior_a_vacuna_COVID_HGR46 - JUDITH ALEJANDRA ESPARZA MICHEL.pdf,619,22,Figshare
10.6084/m9.figshare.12156996.v1,https://doi.org/10.6084/m9.figshare.12156996.v1,https://tagc2020.figshare.com/articles/poster/Uip4_a_novel_endoplasmic_reticulum_protein_maintains_nuclear_shape_and_cellular_homeostasis_in_S_cerevisiae/12156996,True,1,0,0,0,0,1,0,0.0,0.0,False,False,False,True,CC BY 4.0,8,0,8,False,False,False,False,False,False,False,True,2020-04-20T20:30:18Z,2020,0,,0,0,0,True,True,True,143,828,1903A_Pallavi.mov; 1903A Pallavi e-Poster TAGC.pdf,489,239,Figshare
10.23645/epacomptox.19398725.v1,https://doi.org/10.23645/epacomptox.19398725.v1,https://epa.figshare.com/articles/poster/Improving_the_Efficiency_of_Literature_Identification_for_the_ECOTOXicology_Knowledgebase_Using_Deep_Learning/19398725,True,6,0,0,0,0,6,0,0.0,0.0,False,False,False,True,CC0,4,0,4,False,False,False,False,False,False,False,True,2022-03-22T16:51:01Z,2022,0,,0,0,0,True,True,True,13,467,EcoTox SOT Poster_2022.pdf,205,149,Figshare
10.6084/m9.figshare.11829324.v1,https://doi.org/10.6084/m9.figshare.11829324.v1,https://figshare.com/articles/poster/2019_Vizier_SIGMOD_demo_pdf/11829324,True,3,0,0,0,0,3,0,0.0,0.0,True,False,False,True,CC BY 4.0,7,0,7,False,False,False,False,False,False,False,True,2020-02-10T05:15:21Z,2020,0,,0,0,0,True,True,True,2,16,2019_Vizier_SIGMOD_demo.pdf,574,185,Figshare
10.6084/m9.figshare.23527503.v1,https://doi.org/10.6084/m9.figshare.23527503.v1,https://figshare.com/articles/poster/_strong_Pharmacy_Technician_-_led_Dispensing_Clinics_-_Empowering_Pharmacy_Students_to_Develop_Core_Skills_strong_/23527503,True,3,0,0,0,0,3,0,0.0,0.0,False,False,False,True,CC BY 4.0,3,0,3,False,False,False,False,False,False,False,True,2023-06-15T18:23:53Z,2023,0,,0,0,0,True,True,True,18,144,Pharmacy Technician - led Dispensing Clinics - Empowering Pharmacy Students to Develop Core Skills.pptx,210,14,Figshare
